State,Pulse_ID,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Rise_Decay_Ratio_Red,Rise_Decay_Ratio_IR,b_a_Red,b_a_IR,c_a_Red,c_a_IR,d_a_Red,d_a_IR,e_a_Red,e_a_IR,Skewness_Red,Skewness_IR,Kurtosis_Red,Kurtosis_IR,Variance_Red,Variance_IR
Ischaemia,18,0.4553716042573455,0.6561317732634123,0.4553716042573455,0.1718562874251497,0.17326139088729017,-1.0238505865930259,-1.0203460264706357,0.3878950657851567,0.24209644802804264,-0.518808378650889,-0.24954946574818898,0.626678699733527,0.411810230015907,-0.05376763359467408,-0.2085746080661429,-1.2453039567746294,-1.3145231182972477,0.0806763665847963,0.10138471415167648
Ischaemia,19,0.48140042064780625,0.6935876651865753,0.48140042064780625,0.42836363636363634,0.1655786350148368,-0.75163174854294,-1.0463589433252043,0.5383449905930172,0.20895106257476684,-0.6952411095116201,-0.2048088261000973,0.5100411451213612,0.6053234166600575,-0.10041921727822604,-0.1665771020165465,-1.0210688558397634,-1.3428571234963456,0.0790281211523415,0.09947849218449066
Ischaemia,20,0.39358105662176873,0.5670266114845789,0.3935810566217687,0.17396520695860826,0.1628045157456922,-0.8157572846117612,-1.0360047281620919,0.6686372490290935,0.2374319064575393,-1.0656960681764251,-0.2704696981051231,0.7424930991124232,0.561446428985621,0.05437927603460409,-0.16813193906101614,-1.0733616923953808,-1.3498448930158873,0.07655827791331415,0.10075868683199261
Ischaemia,21,0.40525256207746585,0.5838022071914757,0.40525256207746585,0.26422498364944413,0.16868198307134222,-0.7732876779887976,-1.0211884491912653,0.4688813259066936,0.21133853734682553,-0.40502919176843394,-0.21124338082686694,0.6195332929902139,0.3814696356424599,-0.4874810134195025,-0.1849211478653567,-1.120753712776264,-1.3040784153911218,0.0815198304250081,0.09657006839215276
Ischaemia,22,0.46067488807277374,0.6636791434233422,0.4606748880727738,0.15046838407494145,0.17453676031081888,-1.3706905725748986,-1.0563057493889751,0.7236859454123625,0.26644308764499297,-0.36718895540519764,-0.29400818310960053,1.0360692269455356,0.4171161201776542,-0.3018518294816104,-0.20115425635355808,-0.9853356047238444,-1.3210400644675444,0.08145594048309307,0.10479477090091356
Ischaemia,23,0.40634476935572095,0.5854426267826591,0.406344769355721,0.1825825825825826,0.1769276748356246,-1.7465260860062308,-0.9762335915795131,1.4968864625903595,0.31723873491970295,-1.3681504277854621,-0.277274499595956,2.914056218318603,0.4974352014681092,-0.17433180274484125,-0.12536627580608936,-1.4232300610764343,-1.3377105068011734,0.09163285347024461,0.09954507071078482
Ischaemia,24,0.4489512969680966,0.6467680910267835,0.4489512969680966,0.33539944903581265,0.16316736652669467,-0.9656766563767748,-1.0479916189352543,0.5545926265752715,0.23195162909559455,-0.6441814395548311,-0.20032134915475044,0.8923668613412321,0.5230159845296396,0.10858131605286908,-0.15165996986003263,-1.5116520618199625,-1.2790798489031403,0.09535719459136788,0.10011751405655213
Ischaemia,25,0.4598863234840134,0.6625634713545315,0.4598863234840135,0.19547953573610263,0.18033775633293125,-0.9550354368331004,-1.0101187095487474,1.2396320874821134,0.26996444572267836,-1.0123674715957478,-0.34276228838447304,1.8128904015525957,0.4652146837642924,-0.36861267408858117,-0.15810797608861551,-0.9421187082077034,-1.3341188166825575,0.08191504148370196,0.10170856618877895
Ischaemia,26,0.4220846715603537,0.6081066199452762,0.42208467156035373,0.24397972116603295,0.17264038231780165,-1.165462992841426,-0.9784877265896326,1.1289604968128153,0.24716344101501878,-1.265981879989903,-0.2488912385171072,1.3998044724851786,0.5930836599328877,-0.15929933208117975,-0.1517392595879057,-1.3584523644632371,-1.3235659212589685,0.09130451847024536,0.09735254779725272
Ischaemia,27,0.38652571327637064,0.5568822247929729,0.38652571327637064,0.3117408906882591,0.16616676664667068,-0.8991969491630444,-0.9836150735370474,0.432150126069581,0.22872177371048716,-0.5091656264928557,-0.2514031813209564,1.2348051159296636,0.46076987552078225,-0.3894648093564284,-0.24078121880889625,-1.2022972191310037,-1.3234199834110245,0.09813557398349018,0.10095975104947376
