Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
SDPPG_d_a,Ischaemia,30,30,0.876667,0.771026,0.952012,-0.273173,0.833333,0.8,0.806452,0.827586,0.816667,0.819672,0.633333,4.166667,0.208333,25,24,6,5,True,3,IR,SDPPG,SDPPG_d_a,SDPPG_d_a
SDPPG_c_a,Ischaemia,30,30,0.873333,0.777072,0.949946,0.280574,0.666667,0.966667,0.952381,0.74359,0.816667,0.784314,0.633333,20.0,0.344828,20,29,1,10,False,3,IR,SDPPG,SDPPG_c_a,SDPPG_c_a
Rise_Time,Ischaemia,30,30,0.861667,0.752727,0.958857,0.195,0.8,0.9,0.888889,0.818182,0.85,0.842105,0.7,8.0,0.222222,24,27,3,6,True,3,IR,Time,Rise_Time,Rise_Time
Upslope,Ischaemia,30,30,0.847778,0.73367,0.937783,8.868716,0.733333,0.9,0.88,0.771429,0.816667,0.8,0.633333,7.333333,0.296296,22,27,3,8,False,3,IR,Slope,Upslope,Upslope
Delta_T,Ischaemia,30,30,0.840556,0.729425,0.939179,0.137,0.666667,1.0,1.0,0.75,0.833333,0.8,0.666667,,0.333333,20,30,0,10,True,3,IR,Other,Delta_T,Delta_T
Skewness,Ischaemia,30,30,0.833333,0.713271,0.940578,-0.14105,0.766667,0.866667,0.851852,0.787879,0.816667,0.807018,0.633333,5.75,0.269231,23,26,4,7,True,3,IR,Shape & Stats,Skewness,Skewness
Downslope,Ischaemia,30,30,0.811111,0.678532,0.907243,-2.017207,0.6,0.933333,0.9,0.7,0.766667,0.72,0.533333,9.0,0.428571,18,28,2,12,True,3,IR,Slope,Downslope,Downslope
Downslope_Length_Ratio,Ischaemia,30,30,0.785556,0.654018,0.899461,0.556219,0.6,0.9,0.857143,0.692308,0.75,0.705882,0.5,6.0,0.444444,18,27,3,12,False,3,IR,Slope,Downslope_Length_Ratio,Downslope_Length_Ratio
Slope_Length_Ratio,Ischaemia,30,30,0.785556,0.654018,0.899461,0.797853,0.6,0.9,0.857143,0.692308,0.75,0.705882,0.5,6.0,0.444444,18,27,3,12,True,3,IR,Slope,Slope_Length_Ratio,Slope_Length_Ratio
Upslope_Length_Ratio,Ischaemia,30,30,0.785556,0.654018,0.899461,0.443781,0.6,0.9,0.857143,0.692308,0.75,0.705882,0.5,6.0,0.444444,18,27,3,12,True,3,IR,Slope,Upslope_Length_Ratio,Upslope_Length_Ratio
DNP,Ischaemia,30,30,0.773333,0.641189,0.881703,0.784802,0.766667,0.7,0.71875,0.75,0.733333,0.741935,0.466667,2.555556,0.333333,23,21,9,7,False,3,IR,SDPPG,DNP,DNP
Slope_Ratio,Ischaemia,30,30,0.692222,0.537232,0.826675,4.450722,0.566667,0.833333,0.772727,0.657895,0.7,0.653846,0.4,3.4,0.52,17,25,5,13,True,3,IR,Slope,Slope_Ratio,Slope_Ratio
Datum_Area_Ratio,Ischaemia,30,30,0.646667,0.500504,0.780003,3.884494,0.6,0.7,0.666667,0.636364,0.65,0.631579,0.3,2.0,0.571429,18,21,9,12,False,3,IR,Area,Datum_Area_Ratio,Datum_Area_Ratio
Kurtosis,Ischaemia,30,30,0.634444,0.486556,0.764189,-1.388657,0.6,0.733333,0.692308,0.647059,0.666667,0.642857,0.333333,2.25,0.545455,18,22,8,12,True,3,IR,Shape & Stats,Kurtosis,Kurtosis
IPAR,Ischaemia,30,30,0.627778,0.482098,0.769753,0.580273,0.733333,0.566667,0.628571,0.68,0.65,0.676923,0.3,1.692308,0.470588,22,17,13,8,False,3,IR,Shape & Stats,IPAR,IPAR
Upslope_Length,Ischaemia,30,30,0.573333,0.425281,0.726153,1.034804,0.966667,0.333333,0.591837,0.909091,0.65,0.734177,0.3,1.45,0.1,29,10,20,1,True,3,IR,Slope,Upslope_Length,Upslope_Length
SDPPG_b_a,Ischaemia,30,30,0.546667,0.406007,0.705145,-0.960788,0.533333,0.633333,0.592593,0.575758,0.583333,0.561404,0.166667,1.454545,0.736842,16,19,11,14,True,3,IR,SDPPG,SDPPG_b_a,SDPPG_b_a
