Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,State,Channel,Depth_mm
18,0.0019035557247824941,1.6321290710428393,1.6321290710428393,0.0,0.6789525965035998,0.3337109718701003,2.0345528128691184,0.001681178139153808,Ischaemia,Red,3
19,0.0018874359529295565,2.3363683777987356,0.0,2.3344809522146917,0.8387080848777124,0.7716971080909187,1.086835853191896,0.0018874359529295565,Ischaemia,Red,3
20,0.0017650209598359023,1.3203743034746283,0.0,1.3186092904449234,0.5176309897771489,0.3248060532373131,1.593661770210151,0.0017650209598359023,Ischaemia,Red,3
21,0.001562629772669678,1.5504460711122108,0.0,1.5488834675450567,0.6250113057585593,0.30047122586269454,2.080103690341946,0.001562629772669678,Ischaemia,Red,3
22,0.0016285807861235433,2.11661095236704,2.11661095236704,0.0,0.7552121594149372,0.7103624772552736,1.0631363333448518,0.0015987978368087836,Ischaemia,Red,3
23,0.0016841068728089474,1.479164746328706,1.479164746328706,0.0,0.6027540848716455,0.34659046002149607,1.7390960063766954,0.0016595407151534756,Ischaemia,Red,3
24,0.0018527098789225026,1.9548053556264877,1.9548053556264877,0.0,0.791165021475323,0.3922509612662419,2.016986826294395,0.001707503783860854,Ischaemia,Red,3
25,0.0015759483990634027,1.3946236497623423,0.0,1.3930477232574927,0.6924607819629278,0.2969028053964822,2.332281033984236,0.0015759483990634027,Ischaemia,Red,3
26,0.0019332032185346733,2.033413856744365,0.0,2.031480672173643,0.7762438522148316,0.3758247969061646,2.0654407548542975,0.0019332032185346733,Ischaemia,Red,3
27,0.0017261494958503863,1.8496778923929331,0.0,1.8479517830300025,0.77143014557701,0.3402080349775622,2.26752476797877,0.0017261494958503863,Ischaemia,Red,3
28,0.0018300599460233074,2.378868608503778,2.378868608503778,0.0,0.8729354295110836,0.7204626899695664,1.211631693999252,0.00169921409538705,Ischaemia,Red,3
29,0.0017201973403047565,1.4160486668948962,0.0,1.4143284876810873,0.5714925494244765,0.30195562435327417,1.8926375378782696,0.0017201973403047565,Ischaemia,Red,3
0,0.002979956933254114,2.0951823374486214,0.0,2.09220242082086,0.8998012676755169,0.5590457763928618,1.60953057096919,0.002979956933254114,Ischaemia,IR,3
1,0.0029987893304625336,3.0352406916459067,3.0352406916459067,0.0,1.255004269203552,0.5832418801177917,2.151773238489134,0.0028543131554840534,Ischaemia,IR,3
2,0.0029873795253424337,3.049653697995435,0.0,3.0466663533814713,1.2925005916939063,0.5967980612821859,2.165725185026647,0.0029873795253424337,Ischaemia,IR,3
3,0.0030461840625295,3.101580175158322,3.101580175158322,0.0,1.3084813062708007,0.5891322102171159,2.221031686229784,0.0030259026844009053,Ischaemia,IR,3
