time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0.0895,2.50191265,-0.081956456,2.448308133,0.007658491,30.0659873,43.16729397
0.09,2.502241512,-0.076365798,2.449130288,0.027883515,29.99826439,42.95547731
0.0905,2.502570374,-0.072255021,2.448801426,0.017688788,30.01905651,42.80299305
0.091,2.502570374,-0.072583883,2.448308133,0.005520887,30.0071753,42.98633016
0.0915,2.502734805,-0.064526759,2.449130288,0.024266031,30.27509663,42.7620537
0.092,2.502570374,-0.067322088,2.448636995,0.014071304,29.78915506,42.70865454
0.0925,2.503063667,-0.064855621,2.449294719,0.033967465,29.89073943,42.53481062
0.093,2.502899236,-0.06173143,2.449130288,0.021141841,29.88836318,42.78815995
0.0935,2.502734805,-0.064855621,2.448472564,0.011769269,29.77311543,42.49802454
0.094,2.502734805,-0.06173143,2.448965857,0.024266031,29.94420488,42.39478617
0.0945,2.502734805,-0.065842208,2.448472564,0.014235735,30.03271991,42.58168321
0.095,2.502899236,-0.060909275,2.44945915,0.033474172,29.81826403,42.44403205
0.0955,2.503228098,-0.058278377,2.448801426,0.01653777,29.86994731,42.51760423
0.096,2.503063667,-0.059264964,2.448308133,0.007000767,30.00301688,42.40843262
0.0965,2.503392529,-0.0541676,2.449294719,0.024594893,29.95965045,42.39003957
0.097,2.503228098,-0.056962928,2.448801426,0.014071304,29.95846233,42.37105321
0.0975,2.50355696,-0.052029996,2.449294719,0.033309741,29.94598706,42.2025492
0.098,2.503721391,-0.048412511,2.448801426,0.018182081,29.9091553,41.9871726
0.0985,2.503392529,-0.053345444,2.448143702,0.007822922,29.99648221,42.36215335
0.099,2.503392529,-0.053674307,2.448965857,0.022950583,30.05529421,42.27790134
0.0995,2.503392529,-0.058607239,2.448472564,0.008809509,29.97034355,42.16872974
0.1,2.503228098,-0.056634066,2.449130288,0.029198964,30.02796742,42.09575089
0.1005,2.503392529,-0.055154186,2.448472564,0.015386752,29.99707627,42.06015145
0.101,2.503063667,-0.062224724,2.448143702,0.003712145,30.08440318,42.12363711
0.1015,2.503228098,-0.061895861,2.448965857,0.019004236,29.99291785,42.130757
0.102,2.502570374,-0.06913083,2.448143702,0.00601418,30.04578924,42.01031224
