Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_sAmplitudeles
IR,21,RiseFall_ratio,Normal vs Ischaemia,0.517400895,0.412005636,0.617960128,119
IR,21,RiseFall_ratio,Normal vs Congestion,0.542951051,0.435981339,0.638589785,111
IR,21,RiseFall_ratio,Ischaemia vs Congestion,0.501704013,0.401952717,0.601333775,124
IR,21,Width_Ratio,Normal vs Ischaemia,0.525101367,0.428278743,0.613700155,119
IR,21,Width_Ratio,Normal vs Congestion,0.561786214,0.437644766,0.676463891,110
IR,21,Width_Ratio,Ischaemia vs Congestion,0.514067764,0.406368064,0.614207086,123
Red,3,Amplitude,Normal vs Ischaemia,0.960350823,0.913262987,1,153
Red,3,Amplitude,Normal vs Congestion,0.683094028,0.600393375,0.76720149,139
Red,3,Amplitude,Ischaemia vs Congestion,0.000549056,0,0.001990167,156
Red,3,Pulse_Area,Normal vs Ischaemia,0.939206421,0.866980973,1,89
Red,3,Pulse_Area,Normal vs Congestion,0.626796005,0.504088901,0.761994949,75
Red,3,Pulse_Area,Ischaemia vs Congestion,0.067319873,0.017128519,0.140612891,92
Red,3,S_AUC,Normal vs Ischaemia,0.857228647,0.75667014,0.940545597,89
Red,3,S_AUC,Normal vs Congestion,0.591306278,0.471422804,0.732030129,75
Red,3,S_AUC,Ischaemia vs Congestion,0.1173162,0.049316085,0.186220849,92
Red,3,D_AUC,Normal vs Ischaemia,0.928361946,0.852624338,0.996006494,89
Red,3,D_AUC,Normal vs Congestion,0.61426467,0.473534393,0.738590049,75
Red,3,D_AUC,Ischaemia vs Congestion,0.08999991,0.023481336,0.18542825,92
Red,3,AUC_Ratio,Normal vs Ischaemia,0.530225222,0.412092352,0.637498505,89
Red,3,AUC_Ratio,Normal vs Congestion,0.531023035,0.382937189,0.64927787,75
Red,3,AUC_Ratio,Ischaemia vs Congestion,0.47225808,0.359334387,0.580836357,92
Red,9,Amplitude,Normal vs Ischaemia,0.77309478,0.683761819,0.833503814,180
Red,9,Amplitude,Normal vs Congestion,0.382265246,0.313332421,0.459722945,186
Red,9,Amplitude,Ischaemia vs Congestion,0.153072326,0.09831003,0.234015635,182
Red,9,Pulse_Area,Normal vs Ischaemia,0.628051796,0.545501277,0.715318958,116
Red,9,Pulse_Area,Normal vs Congestion,0.433350461,0.34954743,0.520673559,122
Red,9,Pulse_Area,Ischaemia vs Congestion,0.31114703,0.225566105,0.406488022,118
Red,9,S_AUC,Normal vs Ischaemia,0.598620092,0.502479252,0.691744598,116
Red,9,S_AUC,Normal vs Congestion,0.499517893,0.416366357,0.591356376,122
Red,9,S_AUC,Ischaemia vs Congestion,0.41165979,0.312334299,0.499126728,118
Red,9,D_AUC,Normal vs Ischaemia,0.563456057,0.471383738,0.655061979,116
