State,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Red_Datum_Area_Ratio,Red_Rise_Decay_Ratio,Red_Skewness,Red_Kurtosis,Red_Variance,Red_b_a,Red_c_a,Red_d_a,Red_e_a,IR_Datum_Area_Ratio,IR_Rise_Decay_Ratio,IR_Skewness,IR_Kurtosis,IR_Variance,IR_b_a,IR_c_a,IR_d_a,IR_e_a
Normal,0.5027615691079192,0.7241616560988425,0.502459546410824,-0.15637619714154122,0.2809493264913226,-0.05358069827852678,-1.3880935524952633,0.09908272217836514,-0.3805645018505278,0.08822457156350647,-0.2250157940190493,0.46325326684424945,-0.5182024695782927,0.20099875156053676,-0.11370446958085637,-1.3710622604307872,0.10237754204319369,-1.0005553666400835,0.1626605855921717,-0.1549795324971953,0.1606730636224544
Normal,0.4874770542472981,0.7021924344882213,0.48717838103033323,-0.7855824331696643,0.259776536312831,-0.15508903808296207,-1.117682256498511,0.08858258969837832,-1.002053526455279,0.08158482079766204,-0.2302551826439507,0.29281530557820046,-0.4755260906559144,0.2032520325203125,-0.15316952965556666,-1.3608177891521416,0.10286457629435607,-0.9745096069184196,0.2515206222973212,-0.24746881310978291,0.14737716680991733
Normal,0.44380809730869486,0.6393053880093522,0.4435095155867314,0.5699979042191726,0.39999999999997077,-0.23487414679743462,-1.3156611622058754,0.10255576616602466,-0.2464420844589319,0.611963722301829,-0.5047901657409929,0.7764124240710796,-0.45946783535430874,0.2093749999999869,-0.13136912560288813,-1.3244638471375305,0.1027389944365725,-0.9650261230364895,0.20264711307331296,-0.1910809141704379,0.20048131096697955
Normal,0.5182806330005474,0.7465808224012357,0.5179810253650545,0.2978043737768742,0.31058234189102624,-0.2101116071932671,-1.3050214196609502,0.08999324869460892,-0.3415935709586843,0.7183418878216493,-0.4295332170648675,0.34280176584627164,-0.47087349035856996,0.20362273579011844,-0.1445011689238466,-1.3544037432297518,0.10494107025401822,-0.9925420227179724,0.24289994374821622,-0.23110264547756185,0.13691110713782878
Normal,0.5357048520147535,0.7715800679077315,0.5354040223242903,-0.5439050721205865,0.3735955056179513,-0.2778654159191804,-1.153321172024528,0.07847467812462547,-0.8764158939092089,0.3197992935099374,-0.5167161074757612,0.4753084898848488,-0.49670309775281674,0.2011173184357417,-0.11599765992369074,-1.3335471799121947,0.1004068277395555,-0.9703706983713125,0.25136135973493456,-0.23471171681002595,0.17225750916760896
Normal,0.4536545471130783,0.6533764878063356,0.4533578480776625,-0.6189510164021349,0.3758146270817975,-0.45643705419522235,-1.1216520548263553,0.10006408074092524,-1.0515152249858821,0.5211996771626357,-0.3835272523760187,0.4179957924076248,-0.4681299494218753,0.199376947040486,-0.16633980138015836,-1.3589844281932557,0.1037267667816274,-1.0755799866819566,0.2772328964276857,-0.23829556970954832,0.1690364052210892
Normal,0.5097377110103172,0.7340622075395019,0.5094318659966371,-0.6229556607242502,0.20595690747780696,-0.2970749274030483,-1.0589351710178732,0.08214678167288028,-1.4363811805133129,0.6190827891711024,-0.4591410170935008,0.16768876773067834,-0.4668167943415116,0.203368683718016,-0.12521249623575373,-1.368948309874087,0.10206725082719109,-0.9714905019155881,0.21532001652746807,-0.21693905882378509,0.14606054725874285
Normal,0.5472355204179469,0.7880471199330196,0.5469371701189318,-0.5484583353698341,0.2412060301507386,-0.11511094153707316,-0.979210147690778,0.0805260714655924,-1.158750027182269,0.185765463294284,-0.3288281900524313,0.4457278739189638,-0.47671555286031003,0.20211442786068395,-0.1574957767463365,-1.355243643033938,0.10329675846847017,-0.996821961750574,0.12805945810586317,-0.18467252518704982,0.1466075114419739
Normal,0.48201928971529223,0.6943273959621482,0.481715950714151,-0.6505501990525914,0.2489959839357263,-0.1722724716145035,-1.2938901651267594,0.09340521705963442,-0.8257118784629252,0.36514419279119725,-0.3213418821637771,0.30381106984660083,-0.48305084472894316,0.20248447204967687,-0.13603411468829787,-1.3433549447420152,0.10315109164488961,-0.979842107067718,0.21390811509298915,-0.19152433503349245,0.14358851598501235
Normal,0.48617943347410425,0.7004430916631297,0.48587384366147535,-0.44661046251032116,0.221059113300479,-0.3648195444106702,-1.1874720357070576,0.08293569373042498,-1.0767910432597492,0.5565318792219811,-0.41495713984226906,0.5407636988651259,-0.5082354957745858,0.1929499072356096,-0.13665972222631498,-1.3661276153416748,0.10198833765931227,-1.0438879750317815,0.285962096934414,-0.2902805657536337,0.16433938151043076
Normal,0.4714860248765362,0.6794510827446628,0.47118354611008606,-0.5673012263346126,0.44950331125824095,-0.460111424141984,-1.0056502449711089,0.08759988227270302,-0.6947632518337847,0.19463877955859785,-0.35193935006023286,0.5083108926049625,-0.521505302334771,0.19874999999998758,-0.1173075356139511,-1.3523212469497994,0.10201641597470833,-1.064494579753428,0.19187978389134397,-0.1946938776098016,0.16078192113748635
Normal,0.47239089631615305,0.6808292712334589,0.4720930366099772,0.19520893281128715,0.29520295202950214,0.019450024620701164,-1.4410408814771525,0.10368199666937655,-0.3275443593234537,0.6977716671439317,-0.46493181032257663,0.4143101520140468,-0.475896636986454,0.2070043777360721,-0.15035834499708892,-1.3387587316790406,0.102856211769868,-0.9958794835755604,0.2300073035890915,-0.20841728988564268,0.16400666805689584
Normal,0.4591102285672153,0.6617937944093507,0.45881108142540816,-0.7568658100647623,0.4259796806966309,0.001707075869741215,-1.2527672339565903,0.09473129584417482,-1.2108281213903314,0.7623892355161285,-0.7301452277469602,0.3624592306944074,-0.4649639717034193,0.20953575909659913,-0.1305119442019879,-1.354552134710963,0.10342083863263174,-1.0338689480745076,0.21870076971205568,-0.2331163750320286,0.19650933196633572
