Channel,State,Feature,Pressure,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p
IR,Normal,AUC_Ratio,p2_mmhg,24,0.2583309482426537,0.22291321960790644,-0.16670143964075554,0.6317994922306879,0.25999999999999995,0.2198319601699354
IR,Ischaemia,AUC_Ratio,p2_mmhg,24,-0.07347669156693572,0.7329481679232315,-0.46918771695101885,0.3067693824340239,-0.1026086956521739,0.6332868165639749
IR,Congestion,AUC_Ratio,p2_mmhg,24,0.08823733447235066,0.6818074915452305,-0.3892320858827085,0.487429135722931,0.15826086956521737,0.460148912728106
IR,Normal,AUC_Ratio,p1_mmhg,24,0.04869757573019219,0.8212275225684229,-0.37360049369051873,0.4619776887928061,0.11739130434782606,0.5848655143600632
IR,Ischaemia,AUC_Ratio,p1_mmhg,24,0.2260045031215008,0.288280107916286,-0.11504150346469996,0.5797090245002361,0.2504347826086956,0.23787902276971348
IR,Congestion,AUC_Ratio,p1_mmhg,24,0.3852217146173376,0.06303694329025449,0.00866209348789813,0.6655746322094207,0.41478260869565214,0.043866498480705805
IR,Normal,Start_Datum_Area,p2_mmhg,24,0.2340290561449983,0.27103913021771625,-0.13090089991569295,0.5653672057628621,0.2721739130434782,0.1982171723154793
IR,Ischaemia,Start_Datum_Area,p2_mmhg,24,0.35165895671574565,0.09196626695039453,-0.05878434365296246,0.6635415831389108,0.3695652173913043,0.07550604515168588
IR,Congestion,Start_Datum_Area,p2_mmhg,24,-0.08290027673665895,0.7001557440540953,-0.4767272559197583,0.32845950615679664,-0.13130434782608694,0.5408189353993529
IR,Normal,Start_Datum_Area,p1_mmhg,24,-0.16364341973443697,0.444830600908841,-0.5468510849653428,0.2827236705709964,-0.15304347826086956,0.4752549676743846
IR,Ischaemia,Start_Datum_Area,p1_mmhg,24,-0.3541661408025335,0.08951305405346954,-0.6614521974012905,-0.037549670515648524,-0.34695652173913033,0.09670236783045817
IR,Congestion,Start_Datum_Area,p1_mmhg,24,-0.8542661128385107,1.0883807358989182e-07,-0.9317208698641191,-0.7514053175857143,-0.8947826086956522,3.6795072553130247e-09
IR,Normal,End_Datum_Area,p2_mmhg,24,-0.4399571027971354,0.03144617608756259,-0.6804265718615116,-0.11009031194339304,-0.45652173913043476,0.024933671317922936
IR,Ischaemia,End_Datum_Area,p2_mmhg,24,0.0509857765513273,0.8129688904543496,-0.37027063769137514,0.5278017925773606,0.04869565217391304,0.8212344730022532
IR,Congestion,End_Datum_Area,p2_mmhg,24,-0.1434183463054992,0.5037727204100935,-0.47680741128782955,0.29903876826695897,-0.006956521739130434,0.9742640605332525
IR,Normal,End_Datum_Area,p1_mmhg,24,0.17529471258925183,0.41261888169918937,-0.2680526093548651,0.4864385408066462,0.14869565217391303,0.48803379955072457
IR,Ischaemia,End_Datum_Area,p1_mmhg,24,0.36022898923087243,0.08378343977495625,0.01636890745891066,0.6484406534349664,0.3347826086956522,0.10980353592186971
IR,Congestion,End_Datum_Area,p1_mmhg,24,-0.41327070580764164,0.04471979330557487,-0.7379872580318014,-0.03359057547652417,-0.5113043478260869,0.010660889916722198
IR,Normal,Datum_Area_Ratio,p2_mmhg,24,0.46594788141441085,0.021742830842097355,0.13613120942319992,0.6968569543369055,0.4956521739130434,0.013778010050266383
