PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.0651713838082579,0.1275,0.7515,0.879,0.5485,0.1275,0.7515,0.06,1.08796531427687e-05,-4.4714827831083366e-06,0.0015764412884136,0.9999999418133183,Ischaemia,Red
0.06734323465229346,0.2405,0.8315,1.072,0.5905,0.2405,0.8315,0.035,9.991801019792372e-06,-6.096911436805617e-06,0.037064076051377896,0.9999999436879043,Ischaemia,Red
0.06987273912516577,0.23,0.7145,0.9445,0.4225,0.23,0.7145,0.0535,1.0574753807237507e-05,-4.061782140066554e-06,0.8253916847248384,0.9999999457261424,Ischaemia,Red
0.07239696257139733,0.232,0.779,1.011,0.5315,0.232,0.779,0.0565,8.200055447294525e-06,-4.640891261912562e-06,0.06175519228829961,0.9999999476219958,Ischaemia,Red
0.06695978012613597,0.1235,0.8475,0.971,0.6175,0.1235,0.8475,0.0615,1.1269668930051382e-05,-5.287205485781906e-06,0.5436734976195138,0.9999999433674992,Ischaemia,Red
0.07396058957955438,0.1415,0.841,0.9825,0.524,0.1415,0.841,0.076,1.1601358713986439e-05,-5.357135304422122e-06,0.10882401711976913,0.9999999487383561,Ischaemia,Red
0.06017764629452015,0.266,0.5985,0.8645,0.6275,0.266,0.5985,0.0655,7.950289287019636e-06,-3.867860415543564e-06,0.010117966667347501,0.9999999369997721,Ischaemia,Red
0.0637017998516994,0.284,0.7035,0.9875,0.5205,0.284,0.7035,0.014,8.39282065439261e-06,-3.236608853205531e-06,0.8982973046782832,0.999999940484498,Ischaemia,Red
0.0701115428607085,0.2275,0.8595,1.087,0.54,0.2275,0.8595,0.0105,1.1346886988656971e-05,-3.905684592228945e-06,0.04454311329295621,0.9999999459224951,Ischaemia,Red
0.06215575938692244,0.2175,0.7365,0.954,0.726,0.2175,0.7365,0.0535,8.987837044898577e-06,-4.533731874342413e-06,0.2861820173097124,0.9999999390005248,Ischaemia,Red
0.06591224333700718,0.369,0.5925,0.9615,0.5405,0.369,0.5925,0.0715,8.059363764198707e-06,-3.559580575285314e-06,0.00471097825810113,0.9999999424797681,Ischaemia,Red
0.06517628593422059,0.2525,0.749,1.0015,0.5935,0.2525,0.749,0.0675,8.065570131134386e-06,-5.143008205572548e-06,0.11152788289060608,0.9999999418209827,Ischaemia,Red
0.07191455413564439,0.138,0.85,0.988,0.567,0.138,0.85,0.072,1.1401851440610367e-05,-4.0373408433515105e-06,0.003745250373846336,0.9999999472819053,Ischaemia,Red
