PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Upslope,Downslope,Delta_T,RWI,DNP,State,Channel
0.06591224333700718,0.369,0.5925,0.9615,0.5405,9.271529451176661,-4.094958002044677,0.0715,0.7348906085218424,0.00471097825810113,Ischaemia,Red
0.06517628593422059,0.2525,0.749,1.0015,0.5935,9.384938874524948,-5.98430326136031,0.0675,0.8891625893801828,0.11152788289060608,Ischaemia,Red
0.07191455413564439,0.138,0.85,0.988,0.567,12.021677675902538,-4.256818336858714,0.072,0.7412589525725357,0.003745250373846336,Ischaemia,Red
0.0703428101455003,0.273,0.583,0.856,0.531,13.853816126281117,-5.518861519106281,0.057,0.6468674854521851,0.5461840863900828,Ischaemia,Red
0.06263936351698073,0.2455,0.8435,1.089,0.609,9.986793237070856,-6.757992572801527,0.0155,0.9267538589939215,0.05702340112875088,Ischaemia,Red
0.0609780751453672,0.199,0.7655,0.9645,0.648,9.155764449248409,-6.075349557926643,0.053,0.8464118347410047,0.0012392165043500773,Ischaemia,Red
0.0641705366013973,0.1275,0.82,0.9475,0.509,12.832476238276058,-4.231081437536318,0.0655,0.9988897857731431,0.007326960089996451,Ischaemia,Red
0.06269909271679461,0.197,0.823,1.02,0.5185,7.68942090830285,-6.571447511538622,0.061,0.9300812771177237,0.4075407239951847,Ischaemia,Red
0.06600624400924486,0.2385,0.725,0.9635,0.4835,11.956228075252795,-4.44676273900285,0.0655,0.9195041716581044,0.1922913020785291,Ischaemia,Red
0.06743551538079766,0.163,0.8,0.963,0.7005,8.327101344120592,-6.633658726423562,0.0,0.8734352772584201,0.3816663851621301,Ischaemia,Red
0.06512628680020835,0.194,0.7855,0.9795,0.5485,11.20818397706364,-5.289897498243022,0.067,0.9726372050868473,0.21741934717492012,Ischaemia,Red
0.05908034339626992,0.256,0.7555,1.0115,0.6765,11.475907046649013,-6.215819374112925,0.0725,0.8915744332984101,0.3636951328191094,Ischaemia,Red
0.06734764679687147,0.2735,0.678,0.9515,0.532,11.961579593613067,-5.162598557867,0.0605,0.7321229892773454,0.6295112049325865,Ischaemia,Red
0.06270692297176995,0.1325,0.6935,0.826,0.7045,13.33105575264085,-5.313591809157401,0.0005,0.8709296210104404,0.3543809573219301,Ischaemia,Red
0.1498767914234695,0.143,0.8225,0.9655,0.565,12.298038976426028,-2.032316708197868,0.0655,0.9564954251392762,0.029512788409959193,Ischaemia,IR
0.15207781179995167,0.1585,0.817,0.9755,0.5305,11.338972705803826,-2.161340578254169,0.0,0.9118290157007959,0.022908070468433385,Ischaemia,IR
0.15154413019421348,0.1605,0.8205,0.981,0.5425,11.230090471973426,-2.287170264446047,0.0735,0.926160675898291,0.0007282593817304796,Ischaemia,IR
0.15495431586538647,0.1495,0.825,0.9745,0.5365,11.86365147445622,-1.9941171775005273,0.0,0.9165288879109528,0.0005690031291149253,Ischaemia,IR
0.15309569949999338,0.1535,0.8245,0.978,0.519,11.715291952178859,-2.3199331353788466,0.0005,0.9115255248944107,0.007334266590958055,Ischaemia,IR
0.15517176643616484,0.1475,0.8255,0.973,0.5375,12.023000596599502,-1.9742057511474513,0.073,0.8923813483140458,0.004389335320957029,Ischaemia,IR
0.15686322178352877,0.154,0.8255,0.9795,0.5385,11.466621603337217,-2.1203247330575437,0.078,0.9044870214891311,0.0015230335162406859,Ischaemia,IR
0.15553627855047075,0.1445,0.834,0.9785,0.542,12.197582921764251,-2.0225712394705795,0.0,0.9306387802879844,0.00038230782223151456,Ischaemia,IR
0.15544676346940406,0.1435,0.8285,0.972,0.5335,12.313420967933155,-2.3289713580542184,0.0,0.9216569317442626,0.023763558511170155,Ischaemia,IR
0.15320209984978272,0.15,0.8225,0.9725,0.546,11.752116956681732,-2.008312999522559,0.073,0.9156964263196433,0.0006758700447812838,Ischaemia,IR
0.1537052869358921,0.152,0.8225,0.9745,0.5395,11.785680580834025,-2.0723890236611737,0.0,0.9263635603182906,4.6771145490508785e-06,Ischaemia,IR
0.15196915113101794,0.155,0.8255,0.9805,0.5335,11.751739465050775,-2.1901916144756797,0.0715,0.960947768707112,0.0017653696600104206,Ischaemia,IR
0.15230256642945916,0.1455,0.8255,0.971,0.5295,12.236401924450092,-1.9735308560572093,0.0685,0.9448436243835675,0.02420054684027383,Ischaemia,IR
0.15476641783367756,0.1545,0.8185,0.973,0.5405,11.340013734302033,-2.1497754359694454,0.0,0.9186302365805094,0.0004830608542255343,Ischaemia,IR
0.1552155685614029,0.1495,0.8285,0.978,0.539,11.832680927141894,-2.0882143733342104,0.0,0.9152147330855661,0.02864307022725875,Ischaemia,IR
0.14877871331155756,0.1495,0.8255,0.975,0.5325,11.959576009704676,-2.1757228158950284,0.074,0.9578572447236191,0.007943978675025365,Ischaemia,IR
0.15320539210483208,0.157,0.818,0.975,0.5435,11.374086455387555,-2.0168596966720997,0.0,0.943451429118824,0.00032236253602610813,Ischaemia,IR
0.15591861185073883,0.1555,0.82,0.9755,0.544,11.497224612731657,-1.8566295810023803,0.0735,0.9160991476025181,0.015717922355410682,Ischaemia,IR
0.15203192662848214,0.157,0.8225,0.9795,0.541,11.430793543419725,-2.0426154381095785,0.0,0.9256735159796952,6.9696793061552896e-06,Ischaemia,IR
0.1539673588537301,0.1495,0.8315,0.981,0.539,11.876126564492836,-1.933602864415917,0.0715,0.9404493843484302,0.027735779687530254,Ischaemia,IR
0.15081857554591904,0.147,0.8315,0.9785,0.5345,11.899293682782343,-2.153962860508585,0.0715,0.9369010583868846,3.755954265617962e-05,Ischaemia,IR
0.15456550321742674,0.1485,0.82,0.9685,0.526,11.830080088222758,-1.8374987252913115,0.0715,0.8883657385713096,0.005210238012453111,Ischaemia,IR
0.1481109733726844,0.155,0.824,0.979,0.549,11.595544867838896,-1.995441195557504,0.0765,0.942760574792146,0.006169880921368771,Ischaemia,IR
0.1529199267880105,0.1585,0.8265,0.985,0.5265,11.494150547814229,-1.721683461238456,0.0005,0.8969566900602299,0.00010148587388429165,Ischaemia,IR
0.15143605868072568,0.148,0.822,0.97,0.529,12.001577451941102,-1.6879662562806175,0.0,0.9374636798690333,0.0004418989133909122,Ischaemia,IR
0.15117623403745234,0.16,0.819,0.979,0.5325,11.363133855253693,-1.992357794973941,0.077,0.9116551069775047,0.012056663116957585,Ischaemia,IR
0.15239183176607426,0.1545,0.827,0.9815,0.533,11.405043282129384,-1.8869744800751178,0.0,0.9214981477107805,6.177909502805223e-06,Ischaemia,IR
0.15018868492559884,0.148,0.8245,0.9725,0.551,11.987447182037272,-2.2378476728330554,0.0665,0.9181115185126167,0.011290068676934769,Ischaemia,IR
0.1470507052782354,0.15,0.827,0.977,0.578,11.831535816598205,-1.7544553875461588,0.0705,0.9071658188827113,0.06991121933250244,Ischaemia,IR
0.13691456583554662,0.1405,0.84,0.9805,0.866,12.405064953143835,-2.5160668731722353,0.0,0.8254559907426281,0.456052627593171,Ischaemia,IR
0.10582910888945432,0.25,0.632,0.882,0.5565,10.08254511370751,-3.30589629236934,0.064,0.9715789653638578,0.10479983888899676,Congestion,Red
0.1108758788578265,0.2435,0.7625,1.006,0.542,10.065799097981994,-3.1106843492781877,0.019,0.9575070060372812,0.4315947889289813,Congestion,Red
0.11815632457648885,0.177,0.809,0.986,0.5755,9.631944737275262,-4.314422028709444,0.1,0.9077505593065791,0.0002200423069567299,Congestion,Red
0.10684272420292858,0.2395,0.7275,0.967,0.6065,11.826259970265767,-3.1189547630740435,0.0625,0.917629683638222,0.16291823419917312,Congestion,Red
0.11282804248044873,0.153,0.8025,0.9555,0.5315,10.845722683293616,-4.797247742072699,0.0775,0.8547142482591628,0.05411673633292898,Congestion,Red
0.11655711191406115,0.1505,0.781,0.9315,0.5315,11.364934951256146,-4.0629100577090185,0.0765,0.8568526193996611,0.4298149488435296,Congestion,Red
0.11399759329125997,0.1805,0.744,0.9245,0.5685,9.857073791400808,-3.080576860325664,0.094,0.8676101294523271,0.7348889473812937,Congestion,Red
0.11443204580479356,0.3255,0.693,1.0185,0.509,10.010544526288868,-4.0439800676444975,0.0005,0.7812841412208759,0.0030763125744503526,Congestion,Red
0.10714060972765137,0.151,0.8095,0.9605,0.5345,11.68338181670913,-3.6872778786884055,0.074,0.987521756996879,0.058814221998391564,Congestion,Red
0.09785663326244894,0.176,0.7975,0.9735,0.6015,9.318682906076901,-3.366978525171305,0.0945,0.9629268659192106,0.0031822281457099294,Congestion,Red
