Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_End_Datum_Area,9,Congestion,32,32,0.2461,,,0.0891,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Systolic_Width,9,Congestion,32,32,0.2070,,,0.5415,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Pulse_Width,9,Congestion,32,32,0.2041,,,0.9030,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Diastolic_Width,9,Congestion,32,32,0.2026,,,0.3615,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Fall_Time,9,Congestion,32,32,0.1860,,,0.6880,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Max_Start_Datum_Diff,9,Congestion,32,32,0.1514,,,0.0009,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_AUC,9,Congestion,32,32,0.0723,,,1.9428,0.9688,0.0625,0.5082,0.6667,0.5156,0.6667,1.0333,0.5000,31,2,30,1
IR_PI,9,Congestion,32,32,0.0654,,,0.0719,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_D_AUC,9,Congestion,32,32,0.0615,,,1.4973,0.9688,0.0625,0.5082,0.6667,0.5156,0.6667,1.0333,0.5000,31,2,30,1
IR_Start_Datum_Area,9,Congestion,32,32,0.0615,,,0.5082,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
IR_Amplitude,9,Congestion,32,32,0.0605,,,0.0018,1.0000,0.0312,0.5079,1.0000,0.5156,0.6737,1.0323,0.0000,32,1,31,0
