PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Upslope,Downslope,DNP,RWI,Delta_T,State,Channel
0.14877871331155756,0.1495,0.825,0.975,0.5325,0.1495,0.825,6.688963210702341,1.2121212121212122,0.9999613489749405,0.9999613489749405,0.1495,Ischaemia,IR
0.15320539210483208,0.157,0.8175,0.975,0.5435,0.157,0.8175,6.369426751592357,1.2232415902140672,0.9999745882635223,0.9999745882635223,0.157,Ischaemia,IR
0.15591861185073883,0.1555,0.8195,0.9755,0.544,0.1555,0.8195,6.430868167202572,1.2202562538133008,0.9999748204025963,0.9999748204025963,0.1555,Ischaemia,IR
0.15203192662848214,0.157,0.822,0.9795,0.541,0.157,0.822,6.369426751592357,1.2165450121654502,0.9998977838240701,0.9998977838240701,0.157,Ischaemia,IR
0.1539673588537301,0.1495,0.831,0.981,0.539,0.1495,0.831,6.688963210702341,1.203369434416366,0.9999181023676816,0.9999181023676816,0.1495,Ischaemia,IR
0.15081857554591904,0.147,0.831,0.9785,0.5345,0.147,0.831,6.802721088435375,1.203369434416366,0.9999616650919801,0.9999616650919801,0.147,Ischaemia,IR
0.15456550321742674,0.1485,0.8195,0.9685,0.526,0.1485,0.8195,6.734006734006734,1.2202562538133008,0.9997993287335548,0.9997993287335548,0.1485,Ischaemia,IR
0.1481109733726844,0.155,0.8235,0.979,0.549,0.155,0.8235,6.451612903225807,1.214329083181542,0.9999797624865071,0.9999886199797363,0.155,Ischaemia,IR
0.1529199267880105,0.1585,0.826,0.985,0.5265,0.1585,0.826,6.309148264984227,1.2106537530266344,0.9999853798756351,0.9999853798756351,0.1585,Ischaemia,IR
0.15143605868072568,0.148,0.8215,0.97,0.529,0.148,0.8215,6.756756756756757,1.2172854534388313,0.9999263602816231,0.9999263602816231,0.148,Ischaemia,IR
0.15117623403745234,0.16,0.8185,0.979,0.5325,0.16,0.8185,6.25,1.2217470983506413,0.9999392910583941,0.9999392910583941,0.16,Ischaemia,IR
0.15239183176607426,0.1545,0.8265,0.9815,0.533,0.1545,0.8265,6.472491909385114,1.2099213551119177,0.9997999881777947,0.9997999881777947,0.1545,Ischaemia,IR
0.15018868492559884,0.148,0.824,0.9725,0.551,0.148,0.824,6.756756756756757,1.2135922330097089,0.9999333135512727,0.9999333135512727,0.148,Ischaemia,IR
0.1470507052782354,0.15,0.8265,0.977,0.578,0.15,0.8265,6.666666666666667,1.2099213551119177,0.9999655458023484,0.9999655458023484,0.15,Ischaemia,IR
0.13691456583554662,0.1405,0.8395,0.9805,0.866,0.1405,0.8395,7.117437722419928,1.1911852293031566,0.9998797620647043,0.9998797620647043,0.1405,Ischaemia,IR
0.10582910888945432,0.25,0.6315,0.882,0.5565,0.25,0.6315,4.0,1.5835312747426762,0.9999466321188307,0.9999466321188307,0.25,Congestion,Red
0.1108758788578265,0.2435,0.762,1.006,0.542,0.2435,0.762,4.106776180698152,1.3123359580052494,0.9999312071457622,0.9999312071457622,0.2435,Congestion,Red
0.11815632457648885,0.177,0.8085,0.986,0.5755,0.177,0.8085,5.649717514124294,1.2368583797155226,0.9999421388945662,0.9999421388945662,0.177,Congestion,Red
0.10684272420292858,0.2395,0.727,0.967,0.6065,0.2395,0.727,4.175365344467641,1.375515818431912,0.9999962722580418,0.9999962722580418,0.2395,Congestion,Red
0.11282804248044873,0.153,0.802,0.9555,0.5315,0.153,0.802,6.5359477124183005,1.2468827930174562,0.9999830750468516,0.9999830750468516,0.153,Congestion,Red
0.11655711191406115,0.1505,0.7805,0.9315,0.5315,0.1505,0.7805,6.644518272425249,1.2812299807815504,0.9995963268846344,0.9995963268846344,0.1505,Congestion,Red
0.11399759329125997,0.1805,0.7435,0.9245,0.5685,0.1805,0.7435,5.54016620498615,1.3449899125756557,0.9999306559333212,0.9999306559333212,0.1805,Congestion,Red
0.11443204580479356,0.3255,0.6925,1.0185,0.509,0.3255,0.6925,3.0721966205837172,1.444043321299639,0.9999503297123521,0.9999503297123521,0.3255,Congestion,Red
0.10714060972765137,0.151,0.809,0.9605,0.5345,0.151,0.809,6.622516556291391,1.2360939431396785,0.999685310165706,0.999685310165706,0.151,Congestion,Red
0.09785663326244894,0.176,0.797,0.9735,0.6015,0.176,0.797,5.6818181818181825,1.2547051442910915,0.9999390443181746,0.9999390443181746,0.176,Congestion,Red
0.10238404006284157,0.141,0.745,0.8865,0.592,0.141,0.745,7.092198581560284,1.342281879194631,0.9998465951427657,0.9998465951427657,0.141,Congestion,Red
0.11379453008520156,0.2185,0.803,1.022,0.6145,0.2185,0.803,4.576659038901602,1.2453300124533,0.9999709428388317,0.9999709428388317,0.2185,Congestion,Red
0.11829288893685554,0.2045,0.7165,0.9215,0.645,0.2045,0.7165,4.88997555012225,1.3956734124214933,0.9999764547526055,0.9999820128174395,0.2045,Congestion,Red
0.1252427725631538,0.2135,0.788,1.002,0.666,0.2135,0.788,4.68384074941452,1.2690355329949239,0.9999881225583404,0.9999993210421246,0.2135,Congestion,Red
0.12090599364213953,0.2775,0.695,0.973,0.5625,0.2775,0.695,3.603603603603603,1.4388489208633095,0.999829263184522,0.999829263184522,0.2775,Congestion,Red
0.10822196257213564,0.1715,0.7845,0.9565,0.5035,0.1715,0.7845,5.830903790087463,1.2746972594008923,0.9999889926921184,0.9999889926921184,0.1715,Congestion,Red
0.1050553465165671,0.147,0.7835,0.931,0.5725,0.147,0.7835,6.802721088435375,1.2763241863433312,0.999990308647689,0.999990308647689,0.147,Congestion,Red
0.09875650373125751,0.1885,0.8045,0.9935,0.5145,0.1885,0.8045,5.305039787798409,1.2430080795525171,0.9999238854524553,0.9999238854524553,0.1885,Congestion,Red
0.1035151757644572,0.257,0.6595,0.917,0.4965,0.257,0.6595,3.8910505836575875,1.5163002274450341,0.999985606696496,0.999985606696496,0.257,Congestion,Red
0.10163039511571356,0.193,0.7895,0.983,0.5265,0.193,0.7895,5.181347150259067,1.266624445851805,0.9998279147098064,0.9998279147098064,0.193,Congestion,Red
0.09252274888390317,0.1575,0.8275,0.9855,0.6605,0.1575,0.8275,6.349206349206349,1.2084592145015105,0.999976222892833,0.999976222892833,0.1575,Congestion,Red
0.10242959528257742,0.1455,0.8125,0.9585,0.538,0.1455,0.8125,6.872852233676976,1.2307692307692308,0.9999640188378637,0.9999640188378637,0.1455,Congestion,Red
0.09802532572064213,0.137,0.8175,0.955,0.5545,0.137,0.8175,7.2992700729927,1.2232415902140672,0.9998626972416268,0.9998626972416268,0.137,Congestion,Red
0.10324725610732403,0.2755,0.6285,0.9045,0.5165,0.2755,0.6285,3.629764065335753,1.591089896579157,0.9999801071227558,0.9999801071227558,0.2755,Congestion,Red
0.10325983275025177,0.2165,0.8095,1.0265,0.483,0.2165,0.8095,4.618937644341801,1.2353304508956147,0.999592638812405,0.999592638812405,0.2165,Congestion,Red
0.10278076632748229,0.165,0.7845,0.95,0.5215,0.165,0.7845,6.0606060606060606,1.2746972594008923,0.9999368760477678,0.9999368760477678,0.165,Congestion,Red
0.1000632055891816,0.231,0.715,0.9465,0.5115,0.231,0.715,4.329004329004329,1.3986013986013988,0.9999838161473064,0.9999838161473064,0.231,Congestion,Red
0.09830633220949916,0.169,0.791,0.9605,0.598,0.169,0.791,5.9171597633136095,1.2642225031605563,0.9999426833755616,0.9999426833755616,0.169,Congestion,Red
0.10067561655649822,0.2915,0.68,0.972,0.482,0.2915,0.68,3.430531732418525,1.4705882352941175,0.9999532345937097,0.9999532345937097,0.2915,Congestion,Red
0.09499589294153714,0.149,0.769,0.9185,0.545,0.149,0.769,6.7114093959731544,1.3003901170351104,0.9999973788554225,0.9999973788554225,0.149,Congestion,Red
0.08887927525659765,0.191,0.5645,0.756,0.527,0.191,0.5645,5.2356020942408374,1.7714791851195748,0.9999422105144541,0.9999422105144541,0.191,Congestion,Red
0.128837014313761,0.1635,0.79,0.954,0.5805,0.1635,0.79,6.116207951070336,1.2658227848101264,0.9997819376880287,0.9997819376880287,0.1635,Congestion,IR
