State,Channel,Depth_mm,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Ischaemia,Red,3,4,5.487288049418839e+152,1.3752862301293504e+155,1.3752862301293504e+155,0.0,,-1.4219355343821024e+155,0.0,,5.487288049418839e+152
Ischaemia,Red,3,5,5.27593649408727e+151,3.2976953225580815e+154,8.71584033839831e+153,2.420835356812907e+154,0.36003441183513374,4.4606155607618465e+153,8.219572807903545e+153,0.5426821642692591,5.27593649408727e+151
Ischaemia,Red,3,6,1.7389909705505006e+150,1.8898317241931074e+153,6.895620988839385e+152,1.1985306353323735e+153,0.5753395687651413,-2.2931167546425723e+152,3.226776789043246e+151,-7.1065242641790904,1.7389909705505006e+150
Ischaemia,Red,3,7,8.798713772116218e+147,1.0205527617649454e+151,4.0268147081729035e+150,6.169914196322418e+150,0.6526532752389149,-2.0340465368849092e+150,1.2563533497201423e+149,-16.190083286186972,8.798713772116218e+147
Ischaemia,Red,3,8,3.1903408333638497e+145,3.6373097856230355e+148,1.4421985811540282e+148,2.191920866416362e+148,0.6579610620304566,-7.237796909388833e+147,4.6913338313284714e+146,-15.428015079752415,3.1903408333638497e+145
Ischaemia,Red,3,9,7.518535084958087e+142,8.592928418217274e+144,8.592928418217274e+144,0.0,,-2.656233453856821e+145,0.0,,7.518535084958087e+142
Ischaemia,Red,3,10,5.968861953857251e+142,5.843870674811019e+145,1.877960721959102e+145,3.9599411011716915e+145,0.4742395591195635,-4.251205981025388e+144,1.8890479557526626e+144,-2.2504489460308905,5.968861953857251e+142
Ischaemia,Red,3,11,5.0737777502259854e+140,5.892790218463405e+143,2.3187499166934465e+143,3.568966524099029e+143,0.6496978610015978,-1.1737278554104218e+143,7.170453586899129e+141,-16.368948507733133,5.0737777502259854e+140
Ischaemia,Red,3,12,1.8806835181208308e+138,2.1613075244359648e+141,8.602898821909067e+140,1.29913696048922e+141,0.6622010675971721,-4.327484370422177e+140,2.5609507527102846e+139,-16.897960126106874,1.8806835181208308e+138
Ischaemia,Red,3,13,5.903746559609211e+135,1.0632505073366887e+138,1.0632505073366887e+138,0.0,,-1.7562893254866205e+138,0.0,,5.903746559609211e+135
Ischaemia,Red,3,14,1.658083690879276e+135,1.465224795871398e+138,3.983781682485627e+137,1.0651885505588669e+138,0.37399779413658524,-2.080497701051631e+136,9.78428307302231e+136,-0.21263670373438787,1.658083690879276e+135
Ischaemia,Red,3,15,2.5609057759251975e+133,2.896660206463391e+136,1.1303762630892429e+136,1.763723039701022e+136,0.640903496549469,-4.515102208631174e+135,4.063942631872355e+134,-11.110152424939521,2.5609057759251975e+133
Ischaemia,IR,3,0,4.061072237842927e+196,7.213465348596633e+200,1.8550023154649125e+199,7.027559010156697e+200,0.02639611154860371,-9.354769267248546e+198,5.49001302984662e+197,-17.039612140064264,4.061072237842927e+196
Ischaemia,IR,3,1,1.0364427625243804e+165,1.053876367259718e+168,3.561759792517825e+167,6.96663945544566e+167,0.5112593834224735,-9.418397859679076e+166,2.8031370088402135e+166,-3.3599491676562394,1.0364427625243804e+165
Ischaemia,IR,3,2,7.825080966459797e+162,9.005484534806946e+165,3.531834107700715e+165,5.4658253508888585e+165,0.6461666593731109,-1.7750752312423585e+165,1.1481427228697859e+164,-15.460405713372925,7.825080966459797e+162
Ischaemia,IR,3,3,3.0959461094596535e+160,3.588716300005841e+163,1.419919773001518e+163,2.165700581705902e+163,0.6556399277886606,-7.295902516906259e+162,4.247532633743907e+161,-17.17680155991038,3.0959461094596535e+160
Ischaemia,IR,3,4,8.182335072519439e+157,1.232642561743996e+160,1.232642561743996e+160,0.0,,-2.631124141539764e+160,0.0,,8.182335072519439e+157
Ischaemia,IR,3,5,3.6762665180696106e+157,3.3638711318562315e+160,1.0121201996472112e+160,2.348074672968486e+160,0.43104259472620066,-1.4948321896824366e+159,1.6258370495487265e+159,-0.9194231304406231,3.6762665180696106e+157
Ischaemia,IR,3,6,4.437222542911591e+155,5.075844604980352e+158,2.0011265739664451e+158,3.0702808104548787e+158,0.6517731430793678,-9.42030044347557e+157,6.4592535944403636e+156,-14.58419352289226,4.437222542911591e+155
Ischaemia,IR,3,7,1.7991141223083738e+153,2.1116803333664334e+156,8.24962958703952e+155,1.2849182608476142e+156,0.64203536041254,-4.1127478638039712e+155,2.666532304258485e+154,-15.423581620353378,1.7991141223083738e+153
Ischaemia,IR,3,8,5.846697601505564e+150,1.2977425707321045e+153,1.2977425707321045e+153,0.0,,-1.5721501567881071e+153,0.0,,5.846697601505564e+150
Ischaemia,IR,3,9,8.526441850659952e+149,6.385853118841995e+152,1.5972689951226022e+152,4.780057720596381e+152,0.3341526585003915,3.9258266275117315e+151,9.214383402187204e+151,0.4260541868249007,8.526441850659952e+149
Ischaemia,IR,3,10,2.0284785820011108e+148,7.724483909111227e+151,8.166168877243236e+150,6.905838543241354e+151,0.11825021430938824,-2.750202721534184e+150,3.472478476819907e+149,-7.919999331580645,2.0284785820011108e+148
Ischaemia,IR,3,11,1.351008040665555e+141,1.5338794362484729e+144,5.9244584535787655e+143,9.400825828935736e+143,0.6302061713922288,-2.407732035887146e+143,2.0755790286848545e+142,-11.600290823003512,1.351008040665555e+141
Ischaemia,IR,3,12,5.6586780522504726e+138,6.493974179426846e+141,2.551809946304306e+141,3.9365055572471626e+141,0.6482424346147277,-1.2850400005077056e+141,8.371302062845313e+139,-15.350539149831308,5.6586780522504726e+138
Ischaemia,IR,3,13,2.298437736879204e+136,2.6256151394452684e+139,1.0382476738272487e+139,1.5850690299747533e+139,0.6550173236580022,-5.241654468126041e+138,3.132394329129351e+137,-16.73369926443124,2.298437736879204e+136
Ischaemia,IR,3,14,3.32381950573261e+133,2.6223721203772858e+135,2.6223721203772858e+135,0.0,,-1.4328789581643974e+136,0.0,,3.32381950573261e+133
Ischaemia,IR,3,15,5.468285557007321e+133,5.664625427976577e+136,1.9739481585592493e+136,3.685208990515749e+136,0.5356407638316851,-5.718606985166154e+135,1.220691086824726e+135,-4.684729041514879,5.468285557007321e+133
Congestion,Red,3,0,6.443980978234366e+194,1.1309079165332036e+199,2.8932925633562893e+197,1.1019105511215384e+199,0.02625705471656896,-1.4584961822314439e+197,8.533735245079197e+195,-17.09094716844486,6.443980978234366e+194
Congestion,Red,3,1,2.8433989652834833e+163,3.290427393057756e+166,1.294194012834037e+166,1.993389983335944e+166,0.6492427591455032,-5.84366752231307e+165,3.979398086428091e+164,-14.68480256409418,2.8433989652834833e+163
Congestion,Red,3,2,1.0739172454408648e+161,1.246114034127506e+164,4.9506307023330783e+163,7.499770471351692e+163,0.6601042953572979,-2.5029992838306724e+163,1.5723795110637097e+162,-15.918544258678374,1.0739172454408648e+161
Congestion,Red,3,3,4.1655509229032127e+158,4.832101291101855e+161,1.9092324329393475e+161,2.9187033084507043e+161,0.6541372079208693,-9.602939323960109e+160,5.703865918475788e+159,-16.83584337572621,4.1655509229032127e+158
Congestion,Red,3,4,1.0513920414430237e+156,1.5191734727735844e+158,1.5191734727735844e+158,0.0,,-3.394809268186785e+158,0.0,,1.0513920414430237e+156
Congestion,Red,3,5,5.110548486531907e+155,4.924642679800092e+158,1.4508942955609628e+158,3.4686378399212647e+158,0.4182893581054564,-2.2939329686053327e+157,2.1334383254829124e+157,-1.0752281616043866,5.110548486531907e+155
